V1,V2,V3,V4
2265.1889,-0.0024,2834.0,615.5427
2191.9,-0.0093,2894.0,622.3855
2220.7111,0.0169,2906.0,611.7545
2171.9,0.0044,2899.0,617.0082
2172.3666,0.0094,2906.0,610.43
2171.9,0.0026,2908.0,618.9864
2171.9,-0.0063,2870.0,621.1409
2220.7111,0.0153,2836.0,613.6064
2197.8445,0.0118,2906.0,617.9164
2197.8667,0.0029,2856.0,611.5891
2210.6111,0.0152,2892.0,619.1182
2181.1555,0.0006,2894.0,617.8382
2232.5889,0.0151,2875.0,634.3218
2178.1444,-0.0059,2899.0,622.09
2232.5889,0.009,2908.0,617.7182
2220.7111,0.0069,2899.0,618.6682
2171.9,0.004,2875.0,623.51
2183.4556,-0.0068,2891.0,597.6182
2171.9,-0.001,2875.0,619.4364
2222.3222,0.0006,2915.0,616.1336
2222.3333,-0.0007,2892.0,612.0164
2239.4223,-0.0002,2878.0,636.1173
2196.6555,0.0033,2894.0,600.8955
2191.9,0.014,2875.0,619.7018
2239.4223,-0.0057,2878.0,635.9182
2232.5889,-0.0045,2859.0,604.89
2220.4444,-0.0013,2892.0,614.45
2183.4556,0.0083,2904.0,605.8645
2171.9,0.0074,2894.0,598.3727
2196.6555,0.0028,2892.0,613.1073
2172.3666,0.0056,2891.0,591.5455
2242.2444,-0.0004,2899.0,623.5573
2222.3222,0.0098,2864.0,619.4227
2178.1444,0.0124,2906.0,612.8382
2178.1444,0.007,2899.0,619.2964
2171.9,0.0093,2894.0,613.9891
2181.1555,-0.0149,2899.0,620.6755
2224.4778,-0.0074,2841.0,616.8782
2224.4778,-0.0036,2841.0,608.7327
2196.6555,0.0136,2899.0,617.5745
2222.3222,0.0036,2859.0,581.7773
2196.6555,-0.008,2859.0,600.5091
2196.6555,-0.0057,2915.0,621.9391
2222.3222,0.0067,2906.0,615.0864
2242.2444,-0.0031,2904.0,614.3909
2224.4778,-0.0048,2878.0,635.4591
2222.0,-0.0035,2894.0,589.64
2219.8222,-0.0027,2830.0,615.4873
2180.1556,-0.0029,2846.0,613.3427
2222.3222,0.0047,2908.0,616.5327
2242.2444,0.0085,2907.0,606.58
2196.6555,-0.0003,2910.0,621.1836
2186.2667,-0.0088,2880.0,634.1618
2181.6111,-0.0043,2864.0,614.0618
2208.0,0.0018,2870.0,632.4527
2181.5111,0.0038,2889.0,624.1364
2184.8778,-0.0085,2830.0,605.9064
2184.8778,-0.0196,2825.0,619.5764
2221.9444,0.0026,2878.0,616.3218
2184.8778,-0.0133,2825.0,615.4473
2181.6111,0.0059,2891.0,601.3382
2217.7556,0.0041,2830.0,611.3327
2221.9444,0.0082,2880.0,624.7255
2218.7889,-0.0038,2825.0,614.0909
2184.8778,0.0003,2827.0,604.7391
2218.7889,-0.0008,2825.0,616.4127
2184.8778,0.0032,2827.0,605.9909
2221.9444,-0.0013,2878.0,625.27
2184.8778,-0.0042,2849.0,615.2791
2221.9444,0.0146,2878.0,613.7136
2248.4222,0.0177,2906.0,615.7773
2234.6111,0.0031,2885.0,631.8491
2248.4222,0.008,2910.0,623.9345
2248.4222,0.0035,2901.0,608.4018
2248.4222,0.006,2889.0,605.2236
2234.6111,-0.0117,2892.0,616.4609
2256.1222,0.0001,2895.0,588.2882
2221.9444,0.0033,2868.0,614.2455
2256.1222,-0.0013,2849.0,606.91
2221.9444,0.0042,2878.0,633.6118
2228.0555,0.0027,2908.0,602.3136
2234.6111,-0.0146,2887.0,619.3755
2220.7111,-0.0011,2909.0,617.7536
2221.9444,0.008,2880.0,627.4173
2221.9444,0.0097,2877.0,614.4718
2221.9444,0.0285,2880.0,626.8609
2138.8778,0.0107,2894.0,611.5936
2171.8111,0.0129,2816.0,631.7745
2171.8111,0.0097,2816.0,628.6464
2139.2667,0.0095,2827.0,608.9473
2191.7889,0.0114,2816.0,635.5
2139.2667,0.0097,2827.0,608.7764
2220.7111,0.0097,2854.0,619.7764
2304.2111,0.0126,2901.0,604.3445
2177.1667,0.013,2830.0,615.0882
2223.4,0.01,2888.0,615.2755
2146.8555,-0.0106,2827.0,606.7182
2165.6222,-0.0119,2816.0,632.7136
2192.6889,-0.0192,2888.0,603.3
2280.8222,0.0039,2833.0,614.1391
2205.2889,0.0012,2870.0,624.5164
2212.7111,0.0033,2821.0,611.1245
2212.7111,0.0093,2824.0,608.6109
2184.8889,-0.0137,2816.0,626.17
2187.4444,0.003,2845.0,620.2264
2211.3889,-0.0135,2824.0,607.6336
2205.2889,0.0084,2870.0,623.3055
2205.4667,-0.0019,2870.0,630.3318
2216.9556,-0.0015,2821.0,611.4836
2230.0333,0.0117,2835.0,613.2836
2179.0445,0.0092,2835.0,605.3018
2185.9333,-0.0106,2819.0,617.3018
2205.2889,0.0071,2831.0,608.1227
2205.2889,-0.0143,2845.0,622.1982
2211.3889,-0.0018,2866.0,613.9382
2273.7556,0.0047,2835.0,613.8309
2233.7666,-0.0023,2822.0,606.8491
2233.7666,-0.0127,2821.0,612.0127
2225.5889,-0.0008,2824.0,609.3136
2205.2889,-0.0034,2845.0,619.9673
2185.9333,-0.0063,2824.0,631.5845
2197.6444,0.0018,2866.0,612.27
2197.6444,-0.0113,2866.0,616.9745
2197.6444,-0.0061,2866.0,614.0473
2197.6444,-0.0068,2902.0,627.4109
2179.0445,0.0004,2824.0,607.5818
2185.9333,-0.0119,2870.0,626.7036
2185.9333,-0.0015,2833.0,614.6055
2214.0556,-0.0055,2897.0,628.3636
2204.9223,-0.0008,2831.0,624.3873
2231.9556,-0.0037,2831.0,614.52
2177.3222,-0.0001,2823.0,610.0755
2197.6444,-0.0016,2902.0,627.4355
2230.0333,-0.0181,2829.0,604.6173
2185.9333,0.0086,2829.0,616.1809
2230.0333,-0.0225,2829.0,607.0309
2197.2667,-0.0034,2830.0,608.44
2191.1111,0.0104,2822.0,611.8627
2185.9333,-0.0088,2828.0,606.8264
2181.1555,-0.003,2829.0,614.0418
2204.9223,0.0134,2831.0,607.3436
2280.8222,-0.0087,2833.0,606.9991
2177.3222,0.0073,2866.0,618.0736
2177.3222,-0.0089,2909.0,625.8582
2195.7666,-0.0043,2823.0,595.7927
2195.7666,-0.0025,2819.0,599.2782
2185.8111,-0.005,2914.0,632.2982
2178.7333,-0.0064,2830.0,607.67
2185.8111,-0.0012,2866.0,619.0827
2197.2667,-0.0037,2863.0,617.2
2244.1111,0.0101,2819.0,597.3964
2197.6444,0.0008,2859.0,616.9991
2244.1111,-0.0019,2913.0,634.3027
2244.1111,0.0057,2859.0,610.72
2243.7778,-0.0044,2835.0,614.5473
2176.6334,0.0012,2910.0,627.5982
2197.2667,-0.0044,2830.0,607.7136
2176.6334,0.0004,2863.0,615.3073
2243.7778,0.0023,2819.0,608.7718
2177.3222,0.0029,2828.0,609.9709
2243.7778,-0.0013,2802.0,611.9664
2177.3222,0.0112,2859.0,620.2645
2243.7778,0.0021,2909.0,625.4055
2197.2667,0.0026,2902.0,628.3745
2185.8111,0.0027,2833.0,603.6536
2243.7778,-0.0103,2909.0,627.2418
2243.7778,0.0015,2819.0,615.0291
2183.5777,-0.0054,2833.0,609.7145
2244.1111,0.0017,2835.0,608.5264
2178.7333,-0.0032,2823.0,608.7309
2243.7778,0.0073,2909.0,626.2209
2244.1111,0.0069,2824.0,607.4473
2244.1111,0.001,2897.0,641.9645
2243.7778,0.0118,2830.0,612.8
2178.7333,0.0004,2909.0,630.7636
2185.8111,-0.0147,2866.0,614.6591
2243.7778,-0.0017,2897.0,628.2818
2201.5777,0.0068,2819.0,611.7655
2243.7778,0.0067,2823.0,609.6045
2177.3222,0.0012,2828.0,609.8309
2194.6444,0.0306,2859.0,611.0009
2214.7111,0.0076,2801.0,619.29
2194.6444,0.007,2830.0,602.5555
2194.6444,0.0113,2902.0,625.84
2214.7111,-0.0113,2833.0,608.7009
2214.7111,0.0022,2828.0,608.8491
2218.5778,-0.0025,2828.0,607.6764
2178.7333,-0.0046,2908.0,635.5618
2244.1111,-0.0037,2816.0,620.8718
2214.7111,0.053,2802.0,611.0773
2194.6444,-0.0093,2861.0,617.5136
2201.5777,0.0028,2859.0,618.22
2214.7111,-0.0046,2897.0,631.0582
2224.0,0.0024,2830.0,611.3082
2185.8111,-0.0042,2802.0,596.4182
2218.5778,-0.0105,2835.0,610.4491
2218.5778,0.0396,2822.0,614.3818
2202.4333,-0.0073,2828.0,601.6464
2201.5777,-0.002,2828.0,604.8227
2195.5333,-0.0103,2821.0,598.3609
2238.5444,0.0057,2843.0,623.6509
2224.0,-0.0067,2801.0,621.0264
2201.5777,-0.0145,2821.0,587.9964
2195.5333,-0.0006,2833.0,610.8391
2214.7111,-0.0052,2902.0,629.0709
2214.7111,0.0016,2824.0,602.9718
2178.7333,-0.0025,2909.0,624.6418
2214.7111,-0.0057,2828.0,610.0518
2214.7111,0.005,2823.0,609.9336
2238.5444,-0.0076,2835.0,601.11
2238.5444,-0.0075,2902.0,633.4954
2196.6889,-0.0185,2866.0,606.9455
2196.6889,-0.0135,2821.0,608.03
2218.5778,0.0366,2861.0,625.28
2201.5889,-0.0068,2830.0,608.1973
2224.0,-0.022,2861.0,626.9545
2180.9666,0.0103,2830.0,610.3745
2196.6889,-0.0034,2828.0,613.6609
2196.6889,-0.0151,2914.0,630.1173
2238.5444,0.0024,2823.0,614.6764
2238.5444,0.0058,2909.0,619.9836
2224.0,-0.0054,2821.0,610.13
2194.2889,0.0084,2834.0,611.0664
2177.3222,0.0003,2833.0,621.3336
2238.5444,-0.0014,2823.0,615.6173
2207.0444,0.0072,2830.0,609.3745
2205.2222,0.0031,2873.0,622.4182
2197.6778,0.0044,2843.0,631.3464
2208.4444,-0.0036,2824.0,616.0955
2196.6889,0.0026,2821.0,597.2918
2204.2667,0.0086,2823.0,606.8073
2224.0,-0.0051,2821.0,614.7745
2207.0444,-0.0032,2866.0,610.98
2201.5777,0.006,2821.0,582.4818
2197.2333,0.001,2825.0,610.8109
2197.2333,0.0082,2825.0,601.6855
2197.2333,-0.0023,2820.0,608.3127
2180.9666,-0.0113,2822.0,611.8491
2197.6778,0.0016,2821.0,600.6009
2218.0555,0.0049,2824.0,607.1264
2180.9666,0.0057,2801.0,616.5755
2197.6778,0.0039,2909.0,628.22
2194.2889,0.0105,2830.0,622.1827
2197.2333,0.0107,2873.0,623.8827
2238.5444,0.0117,2828.0,611.3682
2218.5778,0.0141,2902.0,637.8855
2198.7222,0.0087,2824.0,608.7982
2170.5444,0.0052,2821.0,622.3518
2196.6889,-0.0162,2824.0,605.0264
2208.4444,0.0069,2820.0,610.8955
2208.4444,0.0083,2822.0,614.6018
2186.9889,0.0031,2859.0,610.3173
2218.0555,0.0048,2913.0,633.6936
2218.0555,0.0097,2861.0,606.8545
2218.0555,0.0039,2861.0,617.3936
2224.0,-0.0017,2866.0,611.9973
2197.6778,0.0004,2822.0,611.1118
2218.5778,0.0089,2828.0,627.7345
2198.7222,0.0178,2824.0,608.6636
2224.0,0.0101,2811.0,599.1491
2186.9889,0.0015,2825.0,610.4564
2186.9889,0.0107,2902.0,627.1736
2178.0778,-0.0324,2862.0,620.8991
2208.4444,0.0111,2801.0,619.1936
2186.9889,0.0013,2821.0,606.02
2186.9889,0.0137,2821.0,607.0473
2198.7222,0.0087,2824.0,610.3036
2197.6778,0.0095,2861.0,622.3455
2238.5444,-0.0017,2870.0,620.7318
2196.8,0.0041,2820.0,606.7309
2170.5444,0.0099,2821.0,604.3945
2218.0555,-0.0021,2913.0,638.0791
2197.6778,-0.0046,2802.0,597.1818
2205.2222,-0.0329,2820.0,606.4227
2198.7222,0.0072,2861.0,622.5836
2207.0444,0.0152,2830.0,610.0327
2197.2333,0.0029,2819.0,608.2509
2197.2333,-0.0064,2897.0,629.6191
2196.8,-0.0036,2914.0,630.4945
2213.7556,-0.0052,2820.0,607.8545
2186.9889,0.0019,2823.0,611.0473
2198.7222,0.0091,2861.0,621.3155
2196.8,-0.0289,2910.0,633.6645
2205.2222,-0.0001,2824.0,604.8864
2206.4222,-0.0013,2909.0,618.6455
2186.9889,-0.0046,2861.0,623.1145
2197.6778,0.0048,2902.0,628.9764
2180.0556,-0.0216,2824.0,617.0245
2213.7556,-0.017,2802.0,605.9827
2167.5,0.0096,2861.0,622.8364
2205.2222,-0.0019,2821.0,601.8373
2198.7222,-0.0181,2830.0,610.4545
2196.8,0.0063,2910.0,622.6709
2198.7222,0.0125,2825.0,606.2809
2213.7556,-0.0185,2820.0,606.92
2197.2333,0.0018,2861.0,621.0127
2202.1222,-0.0173,2830.0,607.1727
2202.1222,-0.0203,2823.0,609.5127
2213.7556,-0.0239,2822.0,612.6209
2218.5778,-0.0148,2861.0,623.6918
2213.7556,-0.0146,2830.0,612.6755
2218.0555,0.0023,2830.0,610.4791
2218.0555,-0.0148,2828.0,628.3682
2213.7556,-0.0264,2829.0,608.34
2178.6889,-0.0081,2862.0,619.5591
2197.2333,-0.0008,2897.0,631.8009
2218.0555,-0.0018,2830.0,608.4055
2186.9889,0.0009,2859.0,614.5418
2178.6889,-0.0083,2820.0,603.49
2197.2333,0.0228,2843.0,626.8682
2213.7556,-0.0069,2822.0,605.8191
2178.6889,-0.0103,2849.0,626.2655
2207.8111,-0.0238,2820.0,608.7173
2218.0555,-0.0218,2823.0,603.5018
2180.0556,-0.0247,2801.0,618.1955
2178.6889,-0.0052,2873.0,616.78
2204.2889,-0.0057,2857.0,629.1573
2200.7,-0.0067,2862.0,619.08
2205.2222,-0.0059,2825.0,624.8109
2204.2889,0.0007,2857.0,627.3664
2197.2333,-0.0029,2834.0,628.1482
2218.0555,0.0082,2802.0,599.6918
2217.3777,-0.0004,2852.0,629.6345
2207.8111,-0.0213,2854.0,638.9927
2178.6889,-0.0049,2849.0,624.5673
2172.5333,0.0094,2849.0,626.2627
2177.0222,0.0165,2860.0,631.3245
2217.3777,-0.001,2857.0,623.7918
2172.5333,-0.01,2811.0,600.8982
2178.6889,-0.0109,2848.0,630.4227
2172.5333,-0.0019,2834.0,610.83
2217.3777,-0.0055,2861.0,617.7227
2213.7556,-0.014,2866.0,610.2245
2217.3777,-0.0124,2802.0,596.9536
2213.9333,-0.0118,2850.0,624.6727
2196.0889,-0.0085,2858.0,630.3918
2177.0222,-0.003,2854.0,637.8036
2177.0222,0.0009,2854.0,635.0709
2196.0889,-0.0076,2873.0,617.6555
2185.3334,-0.0093,2820.0,597.2955
2207.0444,0.0093,2854.0,637.4018
2207.0444,0.0056,2873.0,624.0418
2213.9333,0.0034,2854.0,640.5882
2203.0445,0.0005,2870.0,621.3218
2207.0444,0.0026,2851.0,622.9955
2207.0444,0.0022,2831.0,611.5327
2172.5333,0.0042,2820.0,605.5364
2187.6667,0.0056,2828.0,622.2618
2173.4556,0.0034,2859.0,626.1873
2172.1223,0.0082,2858.0,620.3418
2172.1223,0.0031,2859.0,622.71
2170.9667,0.0064,2901.0,626.3345
2180.7,0.0129,2901.0,632.4055
2191.5667,0.0048,2887.0,628.7745
2170.9667,0.0027,2862.0,722.6018
2113.0778,0.0016,2856.0,630.5455
2235.0556,-0.0048,2854.0,629.5182
2183.3111,-0.0027,2830.0,607.28
2163.5889,0.0041,2820.0,608.2055
2141.0667,-0.0032,2867.0,638.2909
2163.5889,-0.0022,2830.0,615.0545
2202.2889,0.0025,2849.0,621.8455
2230.7555,-0.0115,2834.0,613.6245
2170.9667,0.0034,2820.0,610.93
2230.7555,0.0003,2847.0,620.47
2198.6889,0.0193,2900.0,619.0991
2183.1,0.0039,2849.0,618.6909
2183.3111,-0.0001,2847.0,626.4764
2230.7555,0.0037,2822.0,604.2545
2231.4889,-0.0004,2857.0,622.8864
2219.1333,-0.0072,2848.0,627.0336
2235.0556,0.0017,2867.0,637.8018
2173.6444,0.002,2858.0,625.4055
2179.0778,-0.0066,2802.0,597.64
2230.7555,-0.0027,2854.0,626.6873
2208.2334,0.0083,2873.0,609.2555
2173.4556,0.0133,2859.0,625.5327
2200.7333,-0.0051,2854.0,631.7055
2230.7555,-0.0183,2823.0,607.1127
2180.7,-0.0088,2822.0,599.1809
2183.3111,-0.0119,2820.0,603.3055
2183.1,-0.0022,2837.0,616.2755
2189.6555,0.0057,2828.0,627.3036
2163.5889,-0.0065,2862.0,621.1327
2183.3111,-0.0095,2847.0,618.1945
2179.0778,0.0002,2857.0,623.7391
2207.0444,0.0083,2854.0,632.8191
2163.5778,-0.0165,2851.0,622.4927
2168.7222,0.0073,2822.0,616.2873
2191.5667,-0.0075,2858.0,610.9564
2146.1111,-0.015,2851.0,624.0945
2200.7333,-0.0125,2857.0,626.01
2235.0556,-0.0134,2824.0,615.0109
2163.5889,0.0088,2858.0,620.2091
2180.7,0.0083,2858.0,623.0245
2208.2334,0.0058,2906.0,630.3027
2148.6223,-0.0041,2834.0,611.4518
2151.2,-0.0041,2906.0,628.6255
2180.7,-0.0056,2834.0,614.3436
2183.3111,0.0017,2847.0,619.1382
2185.3334,0.0065,2849.0,621.46
2126.6555,-0.0005,2847.0,622.2264
2235.0556,-0.0029,2858.0,614.0309
2219.1333,-0.0112,2824.0,611.6564
2155.6333,-0.0095,2852.0,627.9518
2163.5889,0.0061,2857.0,618.1518
2180.8333,-0.0037,2858.0,610.2118
2219.1333,-0.0032,2830.0,612.7173
2183.3444,0.0059,2856.0,620.1236
2173.6444,-0.0081,2851.0,619.0327
2208.2334,0.0117,2852.0,632.4409
2208.2667,-0.0013,2858.0,615.7736
2234.5222,-0.0039,2862.0,622.3282
2219.1333,0.0133,2852.0,629.6309
2201.8222,0.0025,2828.0,618.6318
2170.9667,0.0005,2859.0,636.8255
2183.3111,-0.017,2822.0,598.9773
2180.7,-0.0024,2822.0,608.9145
2173.6444,-0.0001,2861.0,630.8345
2183.3111,-0.0002,2847.0,619.4391
2167.2,-0.0013,2873.0,608.2918
2146.1111,0.0021,2857.0,623.2545
2234.5222,-0.0027,2858.0,626.9036
2167.2,-0.0044,2843.0,627.2873
2124.8444,0.0044,2873.0,609.9782
2167.2,-0.0046,2871.0,608.98
2235.0556,-0.006,2859.0,624.8609
2208.2334,0.0052,2856.0,621.1873
2253.5111,-0.0082,2856.0,618.3145
2235.0556,0.0017,2856.0,621.9
2141.0667,-0.0284,2852.0,627.89
2235.0556,-0.0005,2856.0,622.3391
2162.8445,-0.0059,2858.0,621.9036
2235.0556,-0.0029,2873.0,616.4682
2183.3444,-0.0069,2848.0,630.2764
2180.7,0.0039,2834.0,614.3736
2220.4778,-0.0218,2859.0,623.6409
2202.2889,0.0028,2853.0,625.0591
2183.3444,0.0013,2843.0,626.5164
2155.6333,-0.0063,2833.0,622.3064
2201.8222,0.0049,2822.0,604.5018
2167.2,-0.0062,2888.0,624.4264
2242.8555,-0.0003,2856.0,621.93
2216.4778,0.0009,2858.0,621.2182
2242.8555,-0.0049,2867.0,636.9327
2216.4778,-0.0124,2855.0,632.3891
2228.4444,0.0092,2843.0,618.4909
2167.2,-0.0059,2824.0,612.5264
2216.4778,0.0095,2856.0,623.5055
2216.4778,0.0027,2852.0,621.4736
2216.4778,0.0061,2858.0,620.8191
2163.8667,-0.0056,2820.0,606.4245
2235.0556,-0.0045,2858.0,619.9809
2216.4778,0.0064,2856.0,618.0582
2155.6333,0.0068,2852.0,632.0682
2180.7,0.0037,2848.0,628.3673
2126.6555,-0.0087,2852.0,632.7045
2124.8444,-0.0159,2858.0,614.2173
2164.3,-0.0051,2876.0,617.7045
2164.3,0.0055,2867.0,620.9682
2253.5111,-0.0021,2836.0,638.6918
2162.8445,0.0013,2906.0,633.7809
2167.2,-0.0018,2840.0,625.5182
2242.8555,0.0008,2846.0,612.5955
2180.7,0.0027,2826.0,614.0973
2167.2,0.0039,2855.0,623.5655
2242.8555,0.0167,2858.0,617.51
2220.4778,0.0013,2881.0,629.2227
2242.8555,0.0151,2848.0,615.8836
2216.4778,-0.0072,2848.0,629.4591
2141.0667,0.0003,2848.0,629.3836
2164.3,0.0044,2870.0,618.6027
2201.8222,-0.0074,2830.0,611.0564
2155.6333,-0.0096,2824.0,613.0645
2228.4444,0.004,2840.0,623.1245
2159.0556,-0.002,2836.0,631.5455
2124.8444,0.0001,2856.0,619.3682
2183.3444,-0.0064,2858.0,625.87
2159.0556,-0.0005,2852.0,624.8355
2179.0778,0.0089,2848.0,621.4336
2173.4556,0.0017,2828.0,631.4182
2171.8222,-0.0208,2875.0,618.26
2160.6,-0.0035,2867.0,618.6555
2159.0556,-0.0068,2857.0,642.9791
2238.4556,0.0101,2843.0,619.8982
2242.8555,0.003,2836.0,636.4473
2159.0556,0.0036,2867.0,640.9773
2159.0556,0.0008,2801.0,620.2973
2167.2,-0.0032,2873.0,616.4055
2159.0556,-0.0055,2881.0,622.8064
2160.6,0.0011,2873.0,611.3055
2242.8555,0.0049,2843.0,620.8036
2179.0778,0.0043,2822.0,607.7191
2124.8444,-0.0186,2822.0,608.5464
2159.0556,-0.0041,2888.0,619.8764
2124.8444,-0.0155,2848.0,632.8255
2173.6444,0.0057,2858.0,615.8309
2164.3,0.004,2887.0,626.8518
2201.8222,-0.0007,2866.0,611.8673
2231.4889,0.0142,2857.0,626.4636
2200.0666,-0.0269,2873.0,612.9009
2200.0666,0.0094,2846.0,619.9627
2173.4556,0.0101,2863.0,613.7745
2200.0666,-0.0053,2872.0,624.3609
2172.4,0.0001,2855.0,631.1409
2200.0666,-0.002,2892.0,630.9964
2113.0778,0.0018,2847.0,621.8645
2172.4,-0.0004,2881.0,626.9073
2160.6,-0.0097,2852.0,625.4764
2171.8556,0.001,2888.0,621.7755
2171.8556,0.0034,2906.0,629.4336
2171.8556,-0.0031,2888.0,620.3591
2171.8556,-0.0075,2872.0,623.5282
2171.8556,-0.0164,2836.0,639.1845
2171.8556,-0.0001,2892.0,629.9627
2171.8556,-0.001,2855.0,630.2418
2183.5,-0.0009,2888.0,625.8764
2217.8667,0.0031,2888.0,622.1527
2171.8556,0.0065,2882.0,624.5273
2201.0667,0.007,2831.0,610.0327
2200.0666,-0.0018,2873.0,622.7636
2201.0667,0.002,2889.0,629.1618
2217.8667,-0.0039,2848.0,623.5809
2167.9444,0.0009,2917.0,612.2945
2214.9333,0.002,2843.0,620.2836
2167.9444,-0.0033,2875.0,615.0209
2183.5,0.0074,2882.0,624.5591
2167.9444,0.0045,2837.0,609.7055
2171.8556,0.0092,2888.0,617.5736
2184.8889,0.0129,2834.0,609.3154
2217.8667,-0.0037,2855.0,628.0245
2172.9667,0.0084,2826.0,617.3736
2201.0667,0.0052,2846.0,621.0364
2167.9444,0.0054,2831.0,615.5964
2184.8889,0.0066,2852.0,625.4464
2167.9444,0.0037,2847.0,614.3482
2171.3222,0.0036,2875.0,608.5064
2172.4,-0.0023,2881.0,621.1009
2236.0667,0.0168,2858.0,612.4227
2233.1556,-0.0028,2843.0,621.1827
2183.5,0.0095,2845.0,626.2764
2214.9333,0.0213,2907.0,622.13
2217.8667,-0.001,2848.0,619.0773
2184.8889,0.01,2811.0,608.9627
2171.3222,-0.006,2846.0,615.8336
2171.3222,-0.0073,2836.0,638.8982
2214.9333,0.0132,2847.0,614.6582
2236.0667,0.021,2852.0,624.8482
2236.0667,0.0085,2888.0,620.9536
2201.0667,0.0114,2852.0,629.52
2233.1556,0.0055,2917.0,617.8582
2229.3333,0.0083,2855.0,624.3673
2171.8556,0.0073,2848.0,621.1573
2233.1556,0.0016,2852.0,624.1364
2165.8666,-0.0019,2852.0,628.5682
2233.1556,0.0029,2836.0,637.7273
